gname,target,Number_of_Cases
Algerian Islamic Extremists,Private Citizens & Property,110
Algerian Islamic Extremists,Religious Figures/Institutions,3
Algerian Islamic Extremists,Telecommunication,1
Algerian Islamic Extremists,Terrorists/Non-State Militia,9
Algerian Islamic Extremists,Tourists,4
Algerian Islamic Extremists,Transportation,15
Algerian Islamic Extremists,Unknown,12
Algerian Islamic Extremists,Utilities,4
Algerian Moslem Fundamentalists,Police,1
Algerian Moslem Fundamentalists,Private Citizens & Property,2
Algerian Mujahideen for Muslims,Government (General),1
All Assam Revolutionary Army (AARA),Private Citizens & Property,1
All Burma Students' Democratic Front (ABSDF),Business,1
All Burma Students' Democratic Front (ABSDF),Government (General),3
All Burma Students' Democratic Front (ABSDF),Private Citizens & Property,1
All Ethiopian Unity Party (AEUP),Utilities,1
All India Anna Dravida Munetra Kazgan Party,Government (General),1
All India Anna Dravida Munetra Kazgan Party,Police,1
All India Anna Dravida Munetra Kazgan Party,Violent Political Party,1
All India Sikh Students Federation (AISSF),Airports & Aircraft,1
All India Sikh Students Federation (AISSF),Business,1
All India Sikh Students Federation (AISSF),Government (General),1
All India Sikh Students Federation (AISSF),Private Citizens & Property,1
All India Sikh Students Federation (AISSF),Transportation,1
All Kamatapur Liberation Force,Business,1
All Karanataka Youth Council,Business,1
All Nepal Free Nationalist Students Union,Police,1
All Nepal National Free Student Union-Revolutionary,Educational Institution,6
All Tripura Tiger Force (ATTF),Business,1
All Tripura Tiger Force (ATTF),Government (General),1
All Tripura Tiger Force (ATTF),Military,1
All Tripura Tiger Force (ATTF),Police,2
All Tripura Tiger Force (ATTF),Private Citizens & Property,9
All for the Fatherland Movement,Police,1
All-Party Students Union,Violent Political Party,1
Allah's Tigers,Business,1
Allah's Tigers,Journalists & Media,1
Allende Lives Commando,Journalists & Media,1
Alliance of Patriots for a Free and Sovereign Congo (APCLS),Military,3
Alliance of Patriots for a Free and Sovereign Congo (APCLS),Private Citizens & Property,4
Alliance of Revolutionary Cuban Organizations,Government (Diplomatic),1
Allied Democratic Forces (ADF),Business,9
Allied Democratic Forces (ADF),Educational Institution,2
Allied Democratic Forces (ADF),Government (Diplomatic),13
Allied Democratic Forces (ADF),Government (General),2
Allied Democratic Forces (ADF),Military,49
Allied Democratic Forces (ADF),NGO,2
Allied Democratic Forces (ADF),Police,10
Allied Democratic Forces (ADF),Private Citizens & Property,120
Allied Democratic Forces (ADF),Religious Figures/Institutions,6
Allied Democratic Forces (ADF),Transportation,1
Allied Democratic Forces (ADF),Unknown,1
Allied Democratic Forces (ADF),Utilities,1
Allied Democratic Forces of Guinea (RDFG),Private Citizens & Property,1
Alpha-66 (Cuban counterrevolutionary),Journalists & Media,1
Amal,Airports & Aircraft,1
Amal,Educational Institution,1
Amal,Government (Diplomatic),2
Amal,Government (General),2
Amal,Journalists & Media,4
Amal,Military,4
Amal,Private Citizens & Property,3
Amal,Terrorists/Non-State Militia,6
Amal,Violent Political Party,4
Amazigh Islamic Front,Government (Diplomatic),1
Amazonas Liberation Front,Government (General),1
Ambazonia Defense Forces (ADF),Business,1
Ambazonia Defense Forces (ADF),Government (General),3
Ambazonia Defense Forces (ADF),Military,3
Ambazonia Defense Forces (ADF),Police,3
Ambazonia Defense Forces (ADF),Unknown,3
America Battalion,Government (Diplomatic),1
America Battalion,Government (General),1
America Battalion,Military,2
America Battalion,Police,1
America Battalion,Private Citizens & Property,1
American Anticommunist Association (AAA),Government (General),1
American Indian Movement,Government (General),4
American Indian Movement,Private Citizens & Property,1
American Indian Movement,Utilities,1
American Servicemen's Union (ASU),Military,1
American Servicemen's Union (ASU),Telecommunication,1
American Servicemen's Union (ASU),Utilities,1
Americans for Justice,Business,2
Americans for a Competent Federal Judicial System,Business,1
Americans for a Competent Federal Judicial System,Government (General),2
Americans for a Competent Federal Judicial System,NGO,1
Americans for a Competent Federal Judicial System,Private Citizens & Property,1
Amhara tribal group,Private Citizens & Property,1
Amr Bil Maroof Wa Nahi Anil Munkir,Business,1
Amr Bil Maroof Wa Nahi Anil Munkir,Private Citizens & Property,1
Amr Bil Maroof Wa Nahi Anil Munkir,Terrorists/Non-State Militia,1
Ana Maria Martinly August 22 Brigade,Private Citizens & Property,1
Ananda Marga,Government (Diplomatic),1
Ananda Marga,Government (General),1
Anarchio Scene,Military,1
Anarchist Action (CA / United States),Government (Diplomatic),1
Anarchist Anti-Capitalist Action Group,Journalists & Media,1
Anarchist Attack Consortium,Business,1
Anarchist Cell Acca (C.A.A.),Police,1
Anarchist Collective of Kallithea-Moschato,Government (General),1
Anarchist Commando Nestor Makhno Group,Private Citizens & Property,1
Anarchist Faction,Government (Diplomatic),2
Anarchist Liberation Brigade,Business,1
Anarchist Revolt Against Exiled Gendarmes,Police,1
Anarchist Solidarity,Government (General),1
Anarchist Solidarity,Private Citizens & Property,1
Anarchist Squad,Government (General),1
Anarchist Struggle,Government (Diplomatic),1
Anarchists,Airports & Aircraft,1
Anarchists,Business,38
Anarchists,Educational Institution,1
Anarchists,Government (Diplomatic),1
Anarchists,Government (General),18
Anarchists,Journalists & Media,6
Anarchists,Military,2
Anarchists,Police,16
Anarchists,Private Citizens & Property,13
Anarchists,Religious Figures/Institutions,9
Anarchists,Transportation,2
Anarchists,Unknown,1
Anarchists,Violent Political Party,1
Anarchists Attack Team,Business,1
Anarkista Jorge Banos Front of the Everyone For The Homeland Movement (MTP),Business,1
Anas al-Dabbashi Brigade,Military,2
Anas al-Dabbashi Brigade,Terrorists/Non-State Militia,1
Anbar Salvation Council,Terrorists/Non-State Militia,1
Andres Castro United Front,Military,1
Andres Castro United Front,Police,1
Andres Castro United Front,Private Citizens & Property,1
Angels,Business,1
Angola Rebels,Airports & Aircraft,1
Angola Rebels,Private Citizens & Property,1
Angolan Defense Force,Military,1
Angry Brigade,Business,1
Angry Brigade,Government (General),1
Angry Brigade,Violent Political Party,1
Angry Brigade (Italy),Business,1
Angry Brigade (Italy),Police,1
Angry Foxes Cell,Police,1
Aniban ng Ayaw sa Komunista (ANAK)Â ,Religious Figures/Institutions,1
Animal Defense League,Business,1
Animal Liberation Front (ALF),Business,80
Animal Liberation Front (ALF),Educational Institution,16
Animal Liberation Front (ALF),Government (General),9
Animal Liberation Front (ALF),Police,1
Animal Liberation Front (ALF),Private Citizens & Property,10
Animal Liberation Front (ALF),Transportation,1
Animal Rights Militia,Business,1
Animal Rights Militia,Food or Water Supply,1
Animal Rights Militia,Government (General),1
Animal Rights extremists,Business,10
Animal Rights extremists,Educational Institution,1
Animal Rights extremists,Government (General),1
Animal Rights extremists,NGO,2
Animal Rights extremists,Private Citizens & Property,7
Anonima Sequestri,Business,1
Anonymous Underground Movement (MCA),Private Citizens & Property,1
Ansar Al Sunnah (Palestine),Private Citizens & Property,3
Ansar Al-Khilafa (Philippines),Business,1
Ansar Al-Khilafa (Philippines),Military,1
Ansar Al-Khilafa (Philippines),Police,1
Ansar Allah,Airports & Aircraft,1
Ansar Bayt al-Maqdis (Ansar Jerusalem),Business,3
Ansar Bayt al-Maqdis (Ansar Jerusalem),Government (General),4
Ansar Bayt al-Maqdis (Ansar Jerusalem),Military,26
Ansar Bayt al-Maqdis (Ansar Jerusalem),Police,13
Ansar Bayt al-Maqdis (Ansar Jerusalem),Private Citizens & Property,14
Ansar Bayt al-Maqdis (Ansar Jerusalem),Religious Figures/Institutions,1
Ansar Bayt al-Maqdis (Ansar Jerusalem),Tourists,1
Ansar Bayt al-Maqdis (Ansar Jerusalem),Transportation,1
Ansar Bayt al-Maqdis (Ansar Jerusalem),Unknown,4
Ansar Bayt al-Maqdis (Ansar Jerusalem),Utilities,6
Ansar Ghazwat-ul-Hind,Business,1
Ansar Sarallah,Government (General),1
Ansar Wa Mohajir (Pakistan),Government (General),1
Ansar Wa Mohajir (Pakistan),Private Citizens & Property,1
Ansar al-Din,Private Citizens & Property,1
Ansar al-Din Front,Military,2
Ansar al-Dine (Mali),Business,1
Ansar al-Dine (Mali),Government (Diplomatic),17
Ansar al-Dine (Mali),Government (General),6
Ansar al-Dine (Mali),Military,16
Ansar al-Dine (Mali),NGO,1
Ansar al-Dine (Mali),Police,3
Ansar al-Dine (Mali),Private Citizens & Property,3
Ansar al-Dine (Mali),Religious Figures/Institutions,4
Ansar al-Dine (Mali),Terrorists/Non-State Militia,3
Ansar al-Furqan,Unknown,1
Ansar al-Imam Musa al-Sadr,Government (General),1
Ansar al-Islam,Government (Diplomatic),2
Ansar al-Islam,Government (General),6
Ansar al-Islam,Journalists & Media,2
Ansar al-Islam,Military,5
Ansar al-Islam,Police,7
Ansar al-Islam,Private Citizens & Property,3
Ansar al-Islam,Telecommunication,1
Ansar al-Islam,Terrorists/Non-State Militia,1
Ansar al-Islam,Utilities,1
Ansar al-Islam,Violent Political Party,1
Ansar al-Islam (Burkina Faso),Educational Institution,2
Ansar al-Islam (Burkina Faso),Government (General),1
Ansar al-Islam (Burkina Faso),Military,2
Ansar al-Islam (Burkina Faso),Police,1
Ansar al-Islam (Burkina Faso),Private Citizens & Property,4
Ansar al-Islam (Burkina Faso),Religious Figures/Institutions,1
Ansar al-Islam (Egypt),Police,1
Ansar al-Jihad,Private Citizens & Property,1
Ansar al-Sharia (Libya),Airports & Aircraft,5
Ansar al-Sharia (Libya),Business,2
Ansar al-Sharia (Libya),Government (Diplomatic),1
Ansar al-Sharia (Libya),Government (General),1
Ansar al-Sharia (Libya),Journalists & Media,1
Ansar al-Sharia (Libya),Maritime,1
Ansar al-Sharia (Libya),Military,14
Ansar al-Sharia (Libya),Other,1
Ansar al-Sharia (Libya),Police,7
Ansar al-Sharia (Libya),Private Citizens & Property,21
Ansar al-Sharia (Libya),Religious Figures/Institutions,4
Ansar al-Sharia (Libya),Terrorists/Non-State Militia,6
Ansar al-Sharia (Libya),Utilities,1
Ansar al-Sharia (Pakistan),Business,1
Ansar al-Sharia (Pakistan),Police,3
Ansar al-Sharia (Pakistan),Private Citizens & Property,1
Ansar al-Sharia (Pakistan),Violent Political Party,1
Ansar al-Sharia (Tunisia),Business,1
Ansar al-Sharia (Tunisia),Educational Institution,1
Ansar al-Sharia (Tunisia),Government (Diplomatic),3
Ansar al-Sharia (Tunisia),Military,3
Ansar al-Sharia (Tunisia),Police,1
Ansar al-Sharia (Tunisia),Private Citizens & Property,3
Ansar al-Sharia (Tunisia),Religious Figures/Institutions,1
Ansar al-Sharia Operations Room (Syria),Private Citizens & Property,7
Ansar al-Sunna,Business,2
Ansar al-Sunna,Government (General),5
Ansar al-Sunna,Military,1
Ansar al-Sunna,Police,3
Ansar al-Sunna,Private Citizens & Property,6
Ansar al-Sunna (Mozambique),Business,3
Ansar al-Sunna (Mozambique),Police,3
Ansar al-Tahwid wal Sunna,Business,1
Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan),Business,3
Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan),Military,1
Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan),Police,1
Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan),Private Citizens & Property,1
Ansaru ash-Sharia (Russia),Business,1
Ansarul Islam (Pakistan),Educational Institution,1
Ansarul Islam (Pakistan),Private Citizens & Property,1
Ansarullah Bangla Team,Business,1
Ansarullah Bangla Team,Educational Institution,1
Ansarullah Bangla Team,Journalists & Media,3
Ansarullah Bangla Team,Police,1
Ansarullah Bangla Team,Private Citizens & Property,2
Ansarullah Bangla Team,Religious Figures/Institutions,1
Ansarullah Bangla Team,Violent Political Party,1
Antagonistic Nuclei of the New Urban Guerrilla,Police,1
Anti - Election Demonstrators,Transportation,1
Anti Kurdish Workers Party Iraq nationals,Government (General),1
Anti Shah of Iran,Government (Diplomatic),1
"Anti Somoza Gp, name unk",Military,1
Anti-AF,Military,1
Anti-Abortion extremists,Abortion Related,195
Anti-Abortion extremists,Business,3
Anti-Abortion extremists,Private Citizens & Property,1
Anti-American Arab Liberation Front,Business,1
Anti-Apartheid guerrillas,Utilities,1
Anti-Apostate Movement Alliance (AGAP),Religious Figures/Institutions,1
Anti-Arab extremists,Business,1
Anti-Armenian Organization,Business,1
Anti-Armenian Organization,Private Citizens & Property,1
Anti-Authority Group (Greece),Business,4
Anti-Authority Group (Greece),Government (Diplomatic),1
Anti-Authority Group (Greece),Government (General),5
Anti-Authority Group (Greece),Journalists & Media,1
Anti-Authority Group (Greece),Military,1
Anti-Authority Group (Greece),Police,1
Anti-Balaka Militia,Government (Diplomatic),25
Anti-Balaka Militia,Government (General),4
Anti-Balaka Militia,Military,1
Anti-Balaka Militia,NGO,1
Anti-Balaka Militia,Police,1
Anti-Balaka Militia,Private Citizens & Property,30
Anti-Balaka Militia,Religious Figures/Institutions,5
Anti-Balaka Militia,Terrorists/Non-State Militia,3
Anti-Balaka Militia,Transportation,1
Anti-Balaka Militia,Violent Political Party,1
Anti-Bhutto demonstrators,Government (General),1
Anti-Capitalist Action,Business,1
Anti-Capitalist Brigades,Private Citizens & Property,1
Anti-Capitalist Commando,Police,1
Anti-Castro Command,Airports & Aircraft,3
Anti-Castro Group,Business,2
Anti-Castro Group,Utilities,1
Anti-Chon radical elements,Private Citizens & Property,1
Anti-Christian extremists,Religious Figures/Institutions,1
Anti-Clerical Pro-Sex Toys Group,Educational Institution,1
Anti-Clerical Pro-Sex Toys Group,Religious Figures/Institutions,1
Anti-Communist Action Alliance,Business,1
Anti-Communist Command (KAK),NGO,1
Anti-Communist Commando of the South,Educational Institution,1
Anti-Communist Commando of the South,Government (General),3
Anti-Communist Patriotic Front,Government (General),1
Anti-Communist Patriotic Front,Military,1
Anti-Communist Viets Organization,Journalists & Media,1
Anti-Communist Vigilante Group,Violent Political Party,4
Anti-Communist Vigilante Patrol,Government (General),1
Anti-Communist extremists,Educational Institution,1
Anti-Communist extremists,Transportation,1
Anti-Democratic Struggle,Government (Diplomatic),2
Anti-Environmentalists,Business,1
Anti-Environmentalists,NGO,1
Anti-Environmentalists,Private Citizens & Property,2
Anti-Establishment Nucleus,Business,2
Anti-Fascist Action,Business,1
Anti-Fascist Territorial Group,Military,1
Anti-Fascist Territorial Group,Violent Political Party,1
Anti-Gentrification Front,Private Citizens & Property,1
Anti-Government Demonstrators,Business,2
Anti-Government Demonstrators,Food or Water Supply,1
Anti-Government Demonstrators,Government (General),1
Anti-Government Demonstrators,Military,1
Anti-Government Demonstrators,Police,2
Anti-Government Group,Educational Institution,1
Anti-Government Group,Government (General),8
Anti-Government Group,Police,4
Anti-Government Group,Private Citizens & Property,11
Anti-Government Group,Transportation,1
Anti-Government Guerrillas,Educational Institution,2
Anti-Government Guerrillas,Government (Diplomatic),1
Anti-Government Guerrillas,Government (General),4
Anti-Government Guerrillas,Police,1
Anti-Government Guerrillas,Private Citizens & Property,7
Anti-Government Guerrillas,Religious Figures/Institutions,2
Anti-Government Guerrillas,Transportation,3
Anti-Government extremists,Airports & Aircraft,3
Anti-Government extremists,Business,3
Anti-Government extremists,Government (Diplomatic),1
Anti-Government extremists,Government (General),11
Anti-Government extremists,Military,1
Anti-Government extremists,Police,6
Anti-Government extremists,Private Citizens & Property,20
Anti-Government extremists,Religious Figures/Institutions,1
Anti-Government extremists,Tourists,1
Anti-Government extremists,Transportation,1
Anti-Gun Control extremists,Government (General),2
Anti-Gun Control extremists,Private Citizens & Property,1
Anti-Immigrant extremists,Educational Institution,1
Anti-Immigrant extremists,Military,1
Anti-Immigrant extremists,Private Citizens & Property,4
Anti-Immigrant extremists,Transportation,4
Anti-Immigrant extremists,Utilities,1
Anti-Imperialist Cell (AIZ),Government (General),3
Anti-Imperialist Commando,Private Citizens & Property,1
Anti-Imperialist Fighters for a Free Palestine,Airports & Aircraft,1
Anti-Imperialist International Brigades,Government (Diplomatic),4
Anti-Imperialist Patriotic Union,Private Citizens & Property,1
Anti-Imperialist Students Council,Airports & Aircraft,1
Anti-Imperialist Territorial Nuclei (NTA),Government (General),2
Anti-Imperialistic Communist Revolutionaries,Government (General),2
Anti-Independence extremists,Private Citizens & Property,3
Anti-Iran Government Exiles,Government (Diplomatic),10
Anti-Israeli extremists,Airports & Aircraft,1
Anti-Israeli extremists,Journalists & Media,1
Anti-Kim Jong-il extremists,Government (Diplomatic),1
Anti-Kurdish Turks,Private Citizens & Property,2
Anti-LGBT extremists,Business,1
Anti-LGBT extremists,Private Citizens & Property,3
Anti-Liberal extremists,Religious Figures/Institutions,1
Anti-Marxist Commando,Private Citizens & Property,1
Anti-Monarchists,Airports & Aircraft,2
